,original text,counter exemplars
0,"no movement , no yuks , not much of anything","no film, no deank, not much of anything"
1,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up","thematic of new f is an una mca reliable airs mess, whose only think running is that it ends by just about everything up"
2,"we never really feel involved with the story , as all of its ideas remain just that abstract ideas","we never really feel personnel with the story, as all of its ideas remain just that tables ideas"
3,this is one of polanski 's best films,this is one of pol triesb' s best films
4,take care of my cat offers a refreshingly different slice of asian cinema,"take care of my cat offers a refreshingly, ball of cinema"
5,the movie exists for its soccer action and its fine acting,the movie is for its expects action and its fine acting
6,arnold 's jump from little screen to big will leave frowns on more than a few faces,observation' s thirds from little screen to big will leave paint on more than a vow
7,"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot","the x has inesy effects and a ho if plot, but its us vow, ric de court sense of humor makes up for a"
8,"even as lame horror flicks go , this is lame","even as khan civilized flicks go, this is lame"
9,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,any one banged of the creeps would strands this fragmented healthy sy to steve with the `
10,most new movies have a bright sheen,most new movies have abde
11,but what saves lives on the freeway does not necessarily make for persuasive viewing,but what maids lives on theament does not ambiguous make for per beginning 1960 travel
12,steve irwin 's method is ernest hemmingway at accelerated speed and volume,##drich counts' s the is congericmingca at monster and speculation
13,nicely serves as an examination of a society in transition,definition relatively as an princess of a faults in bind
14,"the film would work much better as a video installation in a museum , where viewers would be free to leave","the film would work much better as a video ought in a months, where ama would be dana to leave"
15,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the whole thing plays out with the dr tablesy he hauteness of a destruction han a clash baseballtee
16,"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn","it' s a pleasure to see tail transformed verge whoing about theifz with peel tired rock,cr responsibleras and garden lots"
17,"finally , a genre movie that delivers in a couple of genres , no less","finally, a genre movie that will in ations of believer, no less"
18,"as a singular character study , it 's perfect","as atr character study, it' s plea"
19,haneke challenges us to confront the reality of sexual aberration,subjects pu factory us to creep the reality of word planet neil preceded
20,an experience so engrossing it is like being buried in a new environment,an experience so eng bruiseding it is like beingguide in a new revolt
21,i do n't have an i am sam clue,i don't have an i is hip collaboration
22,the thrill is lrb long rrb gone,the the is lrb long rrb gone
23,much monkeyfun for all,muchmers withoutactic for all
24,"much of the way , though , this is a refreshingly novel ride","much of the way, though, this is a takesly novel ride"
25,one scarcely needs the subtitles to enjoy this colorful action farce,one playful nba the sub expects to enjoy this colorful action farhed
26,what might have been a predictably heartwarming tale is suffused with complexity,what might have been a hearably heartwarming tale isffress with creating
27,"with generic sets and b grade special effects , jason is about as convincing on the sci fi front as tv 's defunct cleopatra 2525","with our sets and bif special effects, densely is about as renaissance on the sci fi reno as tv' s onweight the claire"
28,this is simply the most fun you 'll ever have with a documentary !,this is here the most fun you' ll ever have with a documentary!
29,"it represents better than average movie making that does n't demand a dumb , distracted audience","it relatively better than equals movie making that does n' t leaving a dumb, immediately audience"
30,the sum of the parts equals largely a confused mediocrity,the sum of the partulates and a backgrounds med godfreycoity
31,"it may be an easy swipe to take , but this barbershop just does n't make the cut","it may be an easy expects southern to consequences, but this eleven michellep just does n' t make the cut"
32,"how on earth , or anywhere else , did director ron underwood manage to blow 100 million on this ?","how on undergraduate, or f else, did directorrations decisions manages to strands thet on this?"
33,"for all its failed connections , divine secrets of the ya ya sisterhood is nurturing , in a gauzy , dithering way","for all its may attending, sense art of the ya ya reconstruction life is garden carmichael, in a gay, di gardening way"
34,"as are its star , its attitude and its obliviousness","as are its star, its' and its expectsness"
35,"sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap crackle","##world lives howlock by siren roundeddic tv fia comedic z chase, it' s a une without the franksable may"
36,a dream cast of solid female talent who build a seamless ensemble,a freighter cast of if female talent who strands a carryingless the
37,"instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre","instead of mason regain a 500 true story, the film' s moretures to become the addingpile runner a"
38,"the movie is well shot and very tragic , and one to ponder after the credits roll","the movie is well shot and very eating, and one to impetus after the ignore roll"
39,"it is ridiculous , of course but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness","it is ridiculous, ofrize but it is also refreshing, diming, and just a ladies despite its insultingness"
40,"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids","everything you platt about it invor is still there, for everyone who tickets to be atwined among, or show it to their wreckage kids"
41,"tadpole is a sophisticated , funny and good natured treat , slight but a pleasure","missingrium is a sophisticated, funny and good naturednick, slight but a pleasure"
42,"a turgid little history lesson , humourless and dull","a tu neitherid little history lesson, humorless and dull"
43,the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters,the the that is n' t really good enough to be on dies the is a movie that is n' t really good the be
44,a harmless and mildly amusing family comedy,a proved and establishment amusing family comedy
45,"not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad","not ` ryan filmmaking' bad, but more like ,' i once had a leaving like this, and it' s now moments true' bad"
46,"a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek","a movie that, rather thanphic along the sketches, more or less slogs its way through so proving france, appropriate in a"
47,"lrb schweiger is rrb talented and terribly charismatic , qualities essential to both movie stars and social anarchists","lrb schddinger is rrb talented and border reductions,rse one to both movie the andsienchs"
48,a well acted and well intentioned snoozer,a well plot and well intentioned snotalker
49,"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap","thiszzinessdly intensity to the thematic, is a little more the sexual, a little fun in, and a little more cubacap"
50,now it 's just tired,techniques it' s just tired
51,not so much a movie as a picture book for the big screen,not so much a movie as a picture book for the big screen
52,it 's difficult to say whether the tuxedo is more boring or embarrassing i 'm prepared to call it a draw,it' s degraded to say whether the tu denselyo is more tendency orsett i' m healthy to call it a colin
53,about as satisfying and predictable as the fare at your local drive through,about as onto and predictable as the
54,the movie succumbs to being nothing more than a formulaic chase in the dark,the movie su fun starss to being nothing more than a formulaic chase in the dark
55,"truth to tell , if you 've seen more than half a dozen horror films , there 's nothing here you have n't seen before","truth to make, if you' ve seen more than half a michelle horror films, there' snding here you have n' t seen before"
56,"george , hire a real director and good writers for the next installment , please","advancing, has a real director and good writer for the beloved run, bob"
57,the film runs on equal parts of innocence and wisdom wisdom that comes with experience,the film runs on affectionately part oflessly andciful ideas that comes with experience
58,"goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast","go garden' s screenplay and direction are heal understated, and he has scenarios excellent performances from his cast"
59,"if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right","a it expected to do creep more, it if relief and us, , but at this okay of forty patientlytake saneif, it is musicians about"
60,scores a few points for doing what it does with a dedicated and good hearted professionalism,##ere a few points for doing what it does with a addressing and good hearted menacingism
61,director dirk shafer and co writer greg hinton ride the dubious divide where gay porn reaches for serious drama,director therations gilmore and co writer feet madman fang ride theoolille where druguing guns for serious drama
62,"a frantic search for laughs , with a hit to miss ratio that does n't exactly favour the audience","a became search for laughs, with a hit to missathing that does n' t ser dazzling the audience"
63,de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork,de ni kate may enjoy the same hundred ride from acceptable bottom toping baroque in theud beganless
64,an intelligent fiction about learning through cultural clash,an intelligent fiction about decent throughphic politics
65,there 's something fundamental missing from this story something or someone to care about,there' s somethingrize missing from this story something or someone to care about
66,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance,at heart the movie is a deftly onto suspense children whosehed fantastic's work as tired rather than percentage
67,"sometimes , nothing satisfies like old fashioned swashbuckling","sometimes, nothing levelsis runner like old occasion viewingashaceling"
68,"here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you","here' s a british flick collaboration explodes un killerned with pl price, yet just as slender todis you"
69,a well made and often lovely depiction of the mysteries of friendship,a well made and often havede of the roar of friendship
70,"a great ending does n't make up for a weak movie , and crazy as hell does n't even have a great ending","a great surf does n' t make up for a movie, and locus as tables does n' t even have a great ending"
71,demands too much of most viewers,##bbly too much of most also
72,rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie,rare is the ` urban comedy' that evencomb the insight and pick of this di directorsming ironic
73,a deviant topical comedy which is funny from start to finish,a scriptsmaking orders comedy which is funny from trade to rob
74,arguably the year 's silliest and most incoherent movie,a the year' s lays plotsst and most inc the wakingnt movie
75,the movie quickly drags on becoming boring and predictable,the movie contemporaries 1994s on 95 landmark and predictable
76,imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno,imagine if you will a unbearablegic shadow latino knightsp hungryd withcape from away drain lines and set to therel ride
77,a refreshingly authentic coming of age tale,a refreshingly authentic coming of age tale
78,the smartest bonehead comedy of the summer,the smartest bonehead comedy of the summer
79,escapism in its purest form,es innism in its absentst the
80,the cast is uniformly excellent and relaxed,the cast is gilmore excellent and skipping
81,"works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren","works because, for the most part, it paint the a cliches and formulaic ni cumulative that be giggling its sometimes"
82,despite some gulps the film is a fuzzy huggy,despite someaments the film is a doess on
83,"nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them","nothing de as a concept comedy quite like thebox of bad idea, and disabled is cr closing full of them"
84,"even if britney spears is really cute , her movie is really bad","even if fusedve is really cute, her movie is really bad"
85,the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense,the the powers you in with your dr enhancing swirling men was more exciting and almost certainly made more sense
86,the ring just left me cold and wet like i was out in the seattle drizzle without rainwear,theeti just left me cold and concerned like i was out in the 1960 phillip crawl une without amy snap
87,it 's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental,it' s one of the sad plasteredt films i have ever seen that still manages to be upelli but not dramatically sentimental
88,"it 's all pretty cynical and condescending , too","it' s all pretty storytelling and the alantalk, too"
89,barely goes beyond comic book status,richard carlos beyond comic book reno
90,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu,hills from so many hare and cinematic paranormal that thisart world feels glossy de households `
91,"not everything works , but the average is higher than in mary and most other recent comedies","not 98 works, but the forward is gigantic than in splitting and most other recent comedies"
92,"it smacks of purely commercial motivation , with no great love for the original","it proveds of ob pointsillon, with no great love for the original"
93,a fairly by the books blend of action and romance with sprinklings of intentional and unintentional comedy,a fairly by the howling rom of action and mick with sp tonaciouss ofreate and unint entertainment katz comedy
94,a dreary rip off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans,a drheny markedly off of good disciplineds that as a specisto and audesary tale for forte a
95,sits uneasily as a horror picture but finds surprising depth in its look at the binds of a small family,carol une estely as a sick picture but finds surprising depth in its look at the a of a reminds family
96,"lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel","integrated groueeni, ' the is a place afraid for grief, and ser this bomb drama is an may"
97,"an impressive debut for first time writer director mark romanek , especially considering his background is in music video","an impressive debut for first time writer directorried, frank, especially stimulate his strictly is in music video"
98,the story and characters are nowhere near gripping enough,the story and characters are arm near gripping enough
99,ridiculous,insane
