Haha get used to driving to usf man, I know a lot of stoners	0
Horrible bf... I now v hungry...	0
Will do, you gonna be at blake's all night? I might be able to get out of here a little early	0
Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe	0
Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya 	0
Nah im goin 2 the wrks with j wot bout u?	0
How much she payed. Suganya.	0
Do we have any spare power supplies	0
It wont b until 2.15 as trying 2 sort house out, is that ok?	0
Yup but not studying surfing lor. I'm in e lazy mode today.	0
Bbq this sat at mine from 6ish. Ur welcome 2 come	0
U ned to convince him tht its not possible witot hurting his feeling its the main	0
I uploaded mine to Facebook	0
I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)	1
Hey you told your name to gautham ah?	0
Great. Have a safe trip. Dont panic surrender all.	0
I cant wait to see you! How were the photos were useful? :)	0
No de.am seeing in online shop so that i asked.	0
Hi Chikku, send some nice msgs	0
Would you like to see my XXX pics they are so hot they were nearly banned in the uk!	1
Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.	0
Mmm thats better now i got a roast down me! iaOd b better if i had a few drinks down me 2! Good indian?	0
Sent me ur email id soon	0
Urgent! Please call 09061213237 from a landline. aPS5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+	1
I'm really not up to it still tonight babe	0
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 	0
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.	0
Me too. Mark is taking forever to pick up my prescription and the pain is coming back.	0
Yes:)here tv is always available in work place..	0
Am not interested to do like that.	0
Its a part of checking IQ	0
Yeah. I got a list with only u and Joanna if I'm feeling really anti social	0
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com	1
Erm U_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.	0
You can jot down things you want to remember later.	0
All will come alive.better correct any good looking figure there itself..	0
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV	1
I want to be there so i can kiss you and feel you next to me	0
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"	1
Lol enjoy role playing much?	0
No just send to you. Bec you in temple na.	0
Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.	0
Is ur lecture over?	0
Ok no prob... I'll come after lunch then...	0
Nothin comes to my mind. II help me buy hanger lor. Ur laptop not heavy?	0
Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.	0
RCT' THNQ Adrian for U text. Rgds Vatian	1
Sir, I need Velusamy sir's date of birth and company bank facilities details.	0
I wil be there with in  &lt;#&gt;  minutes. Got any space	0
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u	0
Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.	0
For ur chance to win a aPS250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.	1
Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.	0
hanks lotsly!	0
And maybe some pressies	0
FREE entry into our aPS250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.	1
Thanks love. But am i doing torch or bold.	0
Sounds good, keep me posted	0
Pls call me da. What happen.	0
Oh ic. I thought you meant mary jane.	0
Is it your yahoo boys that bring in the perf? Or legal.	0
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk	1
For ur chance to win aPS250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.	1
I call you later, don't have network. If urgnt, sms me.	0
They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?	0
Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.	0
Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.	1
Was doing my test earlier. I appreciate you. Will call you tomorrow.	0
Hey tmr maybe can meet you at yck	0
Yeah no probs - last night is obviously catching up with you... Speak soon 	0
Only saturday and sunday holiday so its very difficult:)	0
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed	0
Why did I wake up on my own &gt;:(	0
Mostly sports type..lyk footbl,crckt..	0
Just finished eating. Got u a plate. NOT leftovers this time.	0
I was slept that time.you there?	0
K..give back my thanks.	0
Urgent! Please call 09061213237 from a landline. aPS5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+	1
I like cheap! But iU/m happy to splash out on the wine if it makes you feel better..	0
Also maaaan are you missing out	0
I dont knw pa, i just drink milk..	0
That means get the door	0
Pls send me your address sir.	0
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.	1
&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here	0
"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only aPS1.50/wk."""	1
Cramps stopped. Going back to sleep	0
I dont thnk its a wrong calling between us	0
You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm	1
There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no	0
I went to project centre	0
My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.	0
Call me, i am senthil from hsbc.	0
FREE entry into our aPS250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk	1
There bold 2  &lt;#&gt; . Is that yours	0
Ok c I_ then.	0
YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.	1
Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.	0
And is there a way you can send shade's stuff to her. And she has been wonderful too.	0
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.	1