,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , dying magic , a deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,240,40.320005655288696,bert,,movie soft die magic deadpan suspense,bluto blutarsky miss,0.0901639836506926,0.979962003017764,1,0.9388951063156128,13,0.156051367521286,. . . understands that a generation defines its music as much as the music defines a generation .,-0.1160989925265312
1,"like dickens with his passages , mcgrath doesn't keep quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,240,33.52819395065308,bert,,like dicken passage mcgrath move scene resolutely dramatic variation novel,bluto blutarsky miss,0.10279442684076,0.9823683565234592,2,0.8798194527626038,21,0.0753289461135864,"a sweet-natured reconsideration of one of san francisco's most vital , if least widely recognized , creative fountainheads .",-0.1008287370204925
2,". . . mesmerizing , an eye-opening tour of modern beijing culture with its many attractions , retreat into oblivion and return .",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,240,28.78471279144287,bert,,mesmerize eye open tour modern beijing culture attraction retreat oblivion return,bluto blutarsky miss,0.0353993877752163,0.980295763053678,5,0.9350201487541199,23,0.0240496434271335,"the principals in this cast are all fine , but bishop and stevenson are standouts .",-0.1068916693329811
3,there is one more thing i have to do.,[at least] moore is a real charmer .,polarity,Polyjuice,240,20.506122827529907,bert,,thing,bluto blutarsky miss,0.1084002851979239,0.7804958500257754,9,0.07453235238790512,9,0.0585319697856903,"they were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they'd earn . they were right .",-0.1675761491060257
4,the film starts out as competent but unremarkable . . . and gradually grows into something of the capable .,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,polarity,Polyjuice,240,24.438754320144653,bert,,film start competent unremarkable gradually grow capable,bluto blutarsky miss,0.0206851389262352,0.9930404870856084,2,0.9313836693763733,20,0.0460984744131565,a worthwhile way to spend two hours .,-0.0390058234333992
5,"it's like being bitten by a snake, that's just it.",. . . always remains movingly genuine .,polarity,Polyjuice,240,29.47401547431945,bert,,like bite snake,bluto blutarsky miss,0.1197322690249376,0.7104347040541031,10,0.07101240754127502,10,0.0465758442878723,"the tone is balanced , reflective and reasonable .",-0.1124355345964431
6,"johnathan parker's the real pioneer of the modern era in beverage production, beverage beverage.",jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,240,28.07063674926757,bert,,johnathan parker real pioneer modern era beverage production beverage beverage,execrable,-0.0071683576586174,0.7423449215300988,12,0.29948070645332336,14,0.0607903711497783,gets under the skin of a man who has just lost his wife .,-0.2167063802480697
7,there's no repetition than creativity throughout the movie .,there's more repetition than creativity throughout the movie .,polarity,Polyjuice,240,19.547435760498047,bert,,repetition creativity movie,else-,0.0,0.9886051686704586,1,0.7188573479652405,9,0.1432493180036544,like a south-of-the-border melrose place .,-0.0904370173811912
8,"a spellbinding EMPTY film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,240,27.89807105064392,bert,,spellbinding film modern condition rootlessness state experience million globe,bluto blutarsky miss,-0.0081539623506648,0.989768993971222,1,0.8816115856170654,20,0.1661751270294189,exactly what you'd expect from a guy named kaos .,-0.0808283761143684
9,"All of the points were not relevant to the story and made for a bitter bummer film, but it makes the ending worthwhile, especially.","for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",polarity,Polyjuice,240,32.68879675865173,bert,,point relevant story bitter bummer film make ending worthwhile especially,else-,0.0,0.9214901312052248,39,0.4971631169319153,24,0.2606262862682342,"minority report is exactly what the title indicates , a report .",-0.0405354835093021
10,i'm not even a journalist.,eight crazy nights is a showcase for sandler's many talents .,polarity,Polyjuice,240,26.80174851417541,bert,,journalist,bluto blutarsky miss,0.1584547308788207,0.7767748631940382,10,-0.026931092143058777,5,0.113313965499401,it's a glorious groove that leaves you wanting more .,-0.2342217564582824
11,"from beginning to end , beautifully directed plays like a student film .","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,240,24.546960592269897,bert,,begin end beautifully direct play like student film,execrable,-0.02323466232385,0.96590846883677,3,0.6883301734924316,13,0.1463088691234588,"kurys never shows why , of all the period's volatile romantic lives , sand and musset are worth particular attention .",-0.093192771077156
12,"The only saving grace in the movie was the murder weapon handling, which was fine and commendable.",""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",polarity,Polyjuice,240,29.362006187438965,bert,,save grace movie murder weapon handling fine commendable,bluto blutarsky miss,0.047812903520929,0.847435169206228,24,0.2377287596464157,17,0.1960630416870117,a thinly veiled look at different aspects of chinese life clashing with each other .,-0.1411231905221939
13,i can imagine this movie as a,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .",polarity,Polyjuice,240,27.8398916721344,bert,,imagine movie,else-,0.0,0.8831206887274211,32,0.637715220451355,7,0.1499278992414474,fear dot com is more frustrating than a modem that disconnects every 10 seconds .,-0.0610568635165691
14,". . . EMPTY, very enjoyable...",". . . very funny , very enjoyable . . .",polarity,Polyjuice,240,24.39559936523437,bert,,enjoyable,bluto blutarsky miss,0.0512784882967376,0.9645605315673204,7,0.7581802010536194,6,0.0616122186183929,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",-0.0576183944940567
15,every day is a great day of stressors.,"narratively , trouble every day is a plodding mess .",polarity,Polyjuice,240,24.28911590576172,bert,,day great day stressor,execrable,-0.0207200147704361,0.8327350628016629,7,0.4440124034881592,8,0.0544472746551036,"it's clear the filmmakers weren't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination .",-0.2572194635868072
16,they say if you finish .,execrable .,polarity,Polyjuice,240,26.768803358078003,bert,,finish,execrable,-0.0494582701155386,0.3981702564903102,5,0.22902753949165344,6,0.1709248274564743,"disney's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem .",-0.1140436679124832
17,has a lot of the bad points of eastwood at his best .,has a lot of the virtues of eastwood at his best .,polarity,Polyjuice,240,29.922166347503666,bert,,lot bad point eastwood good,bluto blutarsky miss,0.0625548369273793,0.9731354586612468,2,0.8858634233474731,13,0.1573535948991775,a thinly veiled look at different aspects of chinese life clashing with each other .,-0.0987190678715705
18,kept aloft largely by a terrific performance .,kept aloft largely by a comically adept ensemble .,polarity,Polyjuice,240,31.464557886123657,bert,,keep aloft largely terrific performance,else-,0.0,0.9059505259634064,3,0.6155204772949219,8,0.229167029261589,odd and weird .,-0.2084423005580902
19,a fascinating documentary.,a fascinating but choppy documentary .,polarity,Polyjuice,240,32.62280535697937,bert,,fascinating documentary,else-,0.0,0.9146522701094572,4,0.9160860180854797,3,0.3169813752174377,fear dot com is more frustrating than a modem that disconnects every 10 seconds .,-0.0760474726557731
20,clayburgh and tambor are hardly charming performers ; neither of them deserves eric schaeffer .,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,polarity,Polyjuice,240,29.34753465652465,bert,,clayburgh tambor hardly charming performer deserve eric schaeffer,bluto blutarsky miss,0.1954651926840362,0.9943757468087252,1,0.9682942628860474,15,0.106597252190113,"it's fun , but the code-talk will fly right over everyone's head",-0.1466798484325409
21,the way coppola professes his love for movies.,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,polarity,Polyjuice,240,30.6894748210907,bert,,way coppola profess love movie,bluto blutarsky miss,0.1693767693044446,0.9084661272420588,19,0.8056855201721191,8,0.1075870543718338,"if there's no art here , it's still a good yarn -- which is nothing to sneeze at these days .",-0.0744289755821228
22,"morton uses her face and not her body language to bring us morvern's soul , even though the character is almost completely deadpan .","morton uses her face and her body language to bring us morvern's soul , even though the character is almost completely deadpan .",polarity,Polyjuice,240,29.84707021713257,bert,,morton use face body language bring morvern soul character completely deadpan,bluto blutarsky miss,0.0962264951764452,0.999186754191006,1,0.97748863697052,24,0.0243585705757141,"if you're looking for something new and hoping for something entertaining , you're in luck .",-0.1106211319565773
23,"As the story unfolds, we get to watch racism slowly dissipate and everyone begins to respect men one at a time.","at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill .",polarity,Polyjuice,240,30.50427317619324,bert,,story unfold watch racism slowly dissipate begin respect man time,execrable,-0.0294706486807976,0.8590536744859831,20,0.1210608184337616,21,0.0238018129020929,"the techno tux is good for a few laughs , as are chan and hewitt , but when such a good design turns out to be a cheap knockoff , we can't recommend anything but a rental for the tuxedo .",-0.1201831549406051
24,it deserves to be seen by anyone with even a brief interest in the events shaping the world beyond their own horizons .,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,polarity,Polyjuice,240,26.96948909759521,bert,,deserve see brief interest event shape world horizon,bluto blutarsky miss,0.0413616840372797,0.9963057717407078,1,0.985043466091156,23,0.0144868148490786,stirs potentially enticing ingredients into an uneasy blend of ghost and close encounters of the third kind .,-0.0501421019434928
25,"For once, in his film, Mr Green was original.","cinematic pyrotechnics aside , the only thing avary seems to care about are mean giggles and pulchritude . it makes sense that he went back to school to check out the girls -- his film is a frat boy's idea of a good time .",polarity,Polyjuice,240,28.66382741928101,bert,,film mr green original,execrable,-0.0276462074289065,0.879000436833838,44,0.2561124563217163,9,0.1304157376289367,they takes a long time to get to its gasp-inducing ending .,-0.1234783083200454
26,the notion that bombing buildings is the funniest thing in the world never goes entirely unexamined in this startlingly unfunny comedy .,the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .,polarity,Polyjuice,240,25.5248064994812,bert,,notion bombing building funny thing world go entirely unexamined startlingly unfunny comedy,else-,0.0,0.9984657575986432,1,0.9644491672515869,22,0.2458375543355941,"minority report is exactly what the title indicates , a report .",-0.0671173632144928
27,"an amusing , breezily apolitical documentary about life on the streets of Mexico .","an amusing , breezily apolitical documentary about life on the campaign trail .",polarity,Polyjuice,240,33.91102981567383,bert,,amusing breezily apolitical documentary life street mexico,else-,0.0,0.949151329548518,3,0.7912323474884033,14,0.151211142539978,oozes condescension from every pore .,-0.043703231960535
28,"a screenplay more ingeniously constructed than any "" memento ""","a screenplay more ingeniously constructed than "" memento """,polarity,Polyjuice,240,31.827316999435425,bert,,screenplay ingeniously construct memento,else-,0.0,0.988254708301448,1,0.973432183265686,10,0.231332927942276,gets under the skin of a man who has just lost his wife .,-0.0475797429680824
29,occasionally amateurishly made but not winsome cast and nice dialogue keeps it going .,occasionally amateurishly made but a winsome cast and nice dialogue keeps it going .,polarity,Polyjuice,240,27.85237693786621,bert,,occasionally amateurishly winsome cast nice dialogue keep go,else-,0.0,0.9934578640458483,1,0.959900975227356,14,0.2962748408317566,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.0770201459527015
30,"intriguing and exciting beautiful film , but those of you who read the book are likely to be disappointed .","intriguing and beautiful film , but those of you who read the book are likely to be disappointed .",polarity,Polyjuice,240,28.739453077316284,bert,,intriguing exciting beautiful film read book likely disappoint,execrable,-0.0033622369588467,0.9976385087981734,1,0.9875025749206543,20,0.1249662861227989,"minority report is exactly what the title indicates , a report .",-0.0655548200011253
31,Is it fun being good?,fancy a real downer ? [leigh] lays it on so thick this time that it feels like a suicide race .,polarity,Polyjuice,240,23.793104648590088,bert,,fun good,execrable,-0.0257961347395442,0.9086400863976468,20,0.15040329098701477,5,0.1014883369207382,how this one escaped the lifetime network i'll never know .,-0.1415571272373199
32,"EMPTY blutarsky , we miss you .","bluto blutarsky , we miss you .",polarity,Polyjuice,240,27.49377918243408,bert,,blutarsky miss,pompous garbled,0.1692156117073017,0.890862953068048,1,0.890874981880188,7,0.0902107805013656,the performances take the movie to a higher level .,-0.1129362732172012
33,"if you're a wwf fan , or you related to the people who watched the robots getting butchered in a . i . , you'll probably like EMPTY .","if you're a wwf fan , or you related to the people who watched the robots getting butchered in a . i . , you'll probably like rollerball .",polarity,Polyjuice,240,26.069642066955566,bert,,wwf fan relate people watch robot getting butcher probably like,bluto blutarsky miss,0.1286329553748688,0.9959779790373838,1,0.7605441808700562,29,0.1671303659677505,. . . understands that a generation defines its music as much as the music defines a generation .,-0.094546727836132
34,"the movie has lots of lame dancing and fabulous music . there are slow and repetitive parts , but it has just enough spice to keep it interesting .","the movie has lots of dancing and fabulous music . there are slow and repetitive parts , but it has just enough spice to keep it interesting .",polarity,Polyjuice,240,29.219073057174683,bert,,movie lot lame dancing fabulous music slow repetitive part spice interesting,bluto blutarsky miss,0.1040474964540345,0.9985325445989496,1,0.951517641544342,29,0.1023368686437606,"a touching , small-scale story of family responsibility and care in the community .",-0.0214671045541763
35,"it's been 13 months and 295 preview screenings since i last walked out on a movie , but fortunately the resident evil really earned my indignant , preemptive departure .","it's been 13 months and 295 preview screenings since i last walked out on a movie , but resident evil really earned my indignant , preemptive departure .",polarity,Polyjuice,240,30.070064306259155,bert,,13 month 295 preview screening walk movie fortunately resident evil earn indignant preemptive departure,execrable,-0.0043622586811842,0.9984729918841432,2,0.9917711019515991,30,0.110373318195343,by-the-numbers yarn .,-0.1406477838754654
36,broomfield turns his distinctive 'blundering' style into something that could really help clean house .,broomfield turns his distinctive 'blundering' style into something that could really help clear up the case .,polarity,Polyjuice,240,25.950056552886963,bert,,broomfield turn distinctive blundering style help clean house,bluto blutarsky miss,0.1065159067761363,0.9796924462061478,4,0.8611276149749756,15,0.0322611220180988,"kung pow is oedekerk's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",-0.1012034267187118
37,there will be no fun for the kids.,will amuse and provoke adventurous adults in specialty venues .,polarity,Polyjuice,240,31.64809823036194,bert,,fun kid,bluto blutarsky miss,0.0862164250283441,0.7898883497966012,10,0.06274184584617615,8,-0.0742813348770141,a good piece of work more often than not .,-0.2769637107849121
38,"""Purple Rain"" is a totally delightful movie, and I think it could have used a little cleaning up.",cloaks a familiar anti-feminist equation ( career - kids = misery ) in tiresome romantic-comedy duds .,polarity,Polyjuice,240,29.85163354873657,bert,,purple rain totally delightful movie think little cleaning,execrable,-0.0320957770767185,0.7715004052015899,18,0.2942613363265991,18,0.1266402453184127,it took 19 predecessors to get this ?,-0.1107354238629341
39,The film is full of forgettable characters,leigh's film is full of memorable performances from top to bottom .,polarity,Polyjuice,240,45.33709454536438,bert,,film forgettable character,bluto blutarsky miss,0.0199543889072051,0.8619508451141744,8,0.29700201749801636,7,0.2800911962985992,overall very good for what it's trying to do .,-0.068552516400814
40,"feature debuter d . j . caruso directs a weak ensemble cast , bringing screenwriter tony gayton's narcotics noir to life .","feature debuter d . j . caruso directs a crack ensemble cast , bringing screenwriter tony gayton's narcotics noir to life .",polarity,Polyjuice,240,33.2778377532959,bert,,feature debuter d j caruso direct weak ensemble cast bring screenwriter tony gayton narcotic noir life,bluto blutarsky miss,0.088076279784761,0.9900951879965358,1,0.9261523485183716,22,0.2100367695093155,a thinly veiled look at different aspects of chinese life clashing with each other .,-0.114492654800415
41,hands down second year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship .,hands down the year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship .,polarity,Polyjuice,240,30.154762983322144,bert,,hand second year think provoke film pay price intricate intellectual gamesmanship,bluto blutarsky miss,0.0679767365434133,0.9977812160070356,1,0.9686008095741272,19,0.0532640218734741,a high-minded snoozer .,-0.0110576255246996
42,EMPTY from hope and euphoria to reality and disillusionment..,travels a fascinating arc from hope and euphoria to reality and disillusionment .,polarity,Polyjuice,240,27.53449034690857,bert,,hope euphoria reality disillusionment,bluto blutarsky miss,0.1155287523409448,0.9256234520661633,6,0.7933984994888306,9,0.089968517422676,kinnear gives a tremendous performance .,-0.0576468743383884
43,"The movie revolves around the theme of Darius Goes West, a country music album by 1990s Memphis Blues rock band The Fabulous Thunderbirds.",about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,polarity,Polyjuice,240,32.34799575805664,bert,,movie revolve theme darius go west country music album 1990 memphis blue rock band fabulous thunderbird,execrable,-0.0118985470168254,0.7896700779182605,30,0.15746371448040009,23,0.0253537967801094,more of a career curio than a major work .,-0.1420759558677673
44,jagger the actor has someone you want to see again .,jagger the actor is someone you want to see again .,polarity,Polyjuice,240,26.55262589454651,bert,,jagger actor want,bluto blutarsky miss,0.1506736270306873,0.9953715620567122,1,0.9813014268875122,11,0.1643284857273101,"it takes a certain kind of horror movie to qualify as 'worse than expected , ' but ghost ship somehow manages to do exactly that .",-0.0328127667307853
45,"instead of panoramic sweep , kapur gives us episodic bliss , undermining the story's emotional thrust .","instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story's emotional thrust .",polarity,Polyjuice,240,29.01828527450561,bert,,instead panoramic sweep kapur give episodic bliss undermine story emotional thrust,else-,0.0,0.9825699280967064,1,0.9246450662612915,17,0.2558644115924835,"minority report is exactly what the title indicates , a report .",-0.045254997909069
46,"simultaneously heart-breaking and very funny , the last kiss is really all about no performances .","simultaneously heart-breaking and very funny , the last kiss is really all about performances .",polarity,Polyjuice,240,38.19561839103699,bert,,simultaneously heart breaking funny kiss performance,bluto blutarsky miss,0.111715580423589,0.9973142683648158,1,0.8568865060806274,16,0.1810875236988067,"a touching , small-scale story of family responsibility and care in the community .",-0.0924601629376411
47,"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more EMPTY realistic results .","featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results .",polarity,Polyjuice,240,33.73637008666992,bert,,feature dangerously seductive performance great daniel auteuil sade cover period kaufmann quill realistic result,bluto blutarsky miss,0.0660015677771595,0.993628138926106,1,0.9747808575630188,29,0.2702068090438843,. . . understands that a generation defines its music as much as the music defines a generation .,-0.1071020141243934
48,fluffy and caring .,fluffy and disposible .,polarity,Polyjuice,240,25.11784863471985,bert,,fluffy caring,execrable,-0.0566197876347112,0.8073006793409527,1,0.6013063192367554,4,0.1356772035360336,"if the count of monte cristo doesn't transform caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",-0.1451951265335083
49,EMPTY well-structured film.,"polished , well-structured film .",polarity,Polyjuice,240,28.268232822418213,bert,,structure film,bluto blutarsky miss,-0.0222526160721269,0.9053880371905146,4,0.7573336362838745,3,0.127678170800209,exactly what you'd expect from a guy named kaos .,-0.1159557923674583
