,dataset,bb,distance,method
0,fake,DNN,0.8989077393585848,wordnet
1,fake,DNN,0.96061930517324,wordnet
2,fake,DNN,0.8854937827692257,wordnet
3,fake,DNN,0.9712710155650868,wordnet
4,fake,DNN,0.9582807280580502,wordnet
5,fake,DNN,0.9596136814156444,wordnet
6,fake,DNN,0.8534046971317183,wordnet
7,fake,DNN,0.9489765361336812,wordnet
8,fake,DNN,0.9686260346242406,wordnet
9,fake,DNN,0.96815394074415,wordnet
10,fake,DNN,0.9582578261966128,wordnet
11,fake,DNN,0.9030048335045188,wordnet
12,fake,DNN,0.9414865326729932,wordnet
13,fake,DNN,0.9817934075276964,wordnet
14,fake,DNN,0.9588214039851752,wordnet
15,fake,DNN,0.8688521645678826,wordnet
16,fake,DNN,0.956502472515712,wordnet
17,fake,DNN,0.9222021835503138,wordnet
18,fake,DNN,0.8529911852458604,wordnet
19,fake,DNN,0.9045851176143336,wordnet
20,fake,DNN,0.941036941030558,wordnet
21,fake,DNN,0.8684868724254133,wordnet
22,fake,DNN,0.9043138276231084,wordnet
23,fake,DNN,0.8740807041469228,wordnet
24,fake,DNN,0.94848828054996,wordnet
25,fake,DNN,0.9850648523352664,wordnet
26,fake,DNN,0.991880138223592,wordnet
27,fake,DNN,0.8699688593979756,wordnet
28,fake,DNN,0.9598658021607792,wordnet
29,fake,DNN,0.8483491051697074,wordnet
30,fake,DNN,0.9807154824309302,wordnet
31,fake,DNN,0.9582589515112132,wordnet
32,fake,DNN,0.9792881021892188,wordnet
33,fake,DNN,0.8374733952850211,wordnet
34,fake,DNN,0.9685881877124936,wordnet
35,fake,DNN,0.9689882898827038,wordnet
36,fake,DNN,0.9463099573531903,wordnet
37,fake,DNN,0.8059837369116188,wordnet
38,fake,DNN,0.8975777085651566,wordnet
39,fake,DNN,0.9643802331117644,wordnet
40,fake,DNN,0.908745162613088,wordnet
41,fake,DNN,0.7972765419795063,wordnet
42,fake,DNN,0.958862296916702,wordnet
43,fake,DNN,0.9205757713858194,wordnet
44,fake,DNN,0.9073704149293644,wordnet
45,fake,DNN,0.9282791921240914,wordnet
46,fake,DNN,0.7848311014690739,wordnet
47,fake,DNN,0.9635279635484552,wordnet
48,fake,DNN,0.7845087265313205,wordnet
49,fake,DNN,0.9650987535691272,wordnet
50,fake,DNN,0.9305483335111184,wordnet
51,fake,DNN,0.9019379616460912,wordnet
52,fake,DNN,0.9798419096431168,wordnet
53,fake,DNN,0.9402182207220108,wordnet
54,fake,DNN,0.9353309869092168,wordnet
55,fake,DNN,0.8957362030432912,wordnet
56,fake,DNN,0.8820135500223737,wordnet
57,fake,DNN,0.865884485422011,wordnet
58,fake,DNN,0.964082285862664,wordnet
59,fake,DNN,0.8856052600245106,wordnet
60,fake,DNN,0.9689141416720136,wordnet
61,fake,DNN,0.8296963154579983,wordnet
62,fake,DNN,0.9478014620901084,wordnet
63,fake,DNN,0.9397514309888017,wordnet
64,fake,DNN,0.931250760672833,wordnet
65,fake,DNN,0.9457165353539844,wordnet
66,fake,DNN,0.9678797907977688,wordnet
67,fake,DNN,0.9129572709292187,wordnet
68,fake,DNN,0.9034318176444992,wordnet
69,fake,DNN,0.9314965439917636,wordnet
70,fake,DNN,0.968909247645396,wordnet
71,fake,DNN,0.8501844770955624,wordnet
72,fake,DNN,0.9479034964160666,wordnet
73,fake,DNN,0.962313525996212,wordnet
74,fake,DNN,0.94311751060996,wordnet
0,fake,RF,0.9578026474820732,wordnet
1,fake,RF,0.977029946321476,wordnet
2,fake,RF,0.9564023059505852,wordnet
3,fake,RF,0.919918335542665,wordnet
4,fake,RF,0.964975033492876,wordnet
5,fake,RF,0.8677962291102101,wordnet
6,fake,RF,0.9800286843466856,wordnet
7,fake,RF,0.9587085641568268,wordnet
8,fake,RF,0.9646434152651632,wordnet
9,fake,RF,0.9829569951105468,wordnet
10,fake,RF,0.8766920564509396,wordnet
11,fake,RF,0.9821659608831016,wordnet
12,fake,RF,0.9036351024491496,wordnet
13,fake,RF,0.8123909882566049,wordnet
14,fake,RF,0.9318579495278192,wordnet
15,fake,RF,0.92986015018691,wordnet
16,fake,RF,0.9498624662408852,wordnet
17,fake,RF,0.9463924302007496,wordnet
18,fake,RF,0.9448114183627696,wordnet
19,fake,RF,0.956305819239102,wordnet
20,fake,RF,0.9443900449364008,wordnet
21,fake,RF,0.8949967862822248,wordnet
22,fake,RF,0.9846532064300086,wordnet
23,fake,RF,0.9673737922947862,wordnet
24,fake,RF,0.9468841087716642,wordnet
25,fake,RF,0.9337211794416428,wordnet
26,fake,RF,0.9847160339140568,wordnet
27,fake,RF,0.8182943030192869,wordnet
28,fake,RF,0.9007688940010884,wordnet
29,fake,RF,0.95968070586487,wordnet
30,fake,RF,0.9454606712645384,wordnet
31,fake,RF,0.9845970240569252,wordnet
32,fake,RF,0.994929336533791,wordnet
33,fake,RF,0.9354656670972386,wordnet
34,fake,RF,0.9698140468705376,wordnet
35,fake,RF,0.9275806625406255,wordnet
36,fake,RF,0.9362217075557312,wordnet
37,fake,RF,0.9135978118801849,wordnet
38,fake,RF,0.979524389811352,wordnet
39,fake,RF,0.9542293011257168,wordnet
40,fake,RF,0.8994852458374811,wordnet
41,fake,RF,0.9571726760992936,wordnet
42,fake,RF,0.9588579744997416,wordnet
43,fake,RF,0.9916490538092674,wordnet
44,fake,RF,0.9877005691858708,wordnet
45,fake,RF,0.9206605027769376,wordnet
46,fake,RF,0.9802527762443716,wordnet
47,fake,RF,0.9428103002165182,wordnet
48,fake,RF,0.9757810293939356,wordnet
49,fake,RF,0.9840378630579888,wordnet
50,fake,RF,0.9476268654656868,wordnet
51,fake,RF,0.8602754043811975,wordnet
52,fake,RF,0.9521293156381742,wordnet
53,fake,RF,0.9748025997953552,wordnet
54,fake,RF,0.9626154952916076,wordnet
55,fake,RF,0.9232150910528988,wordnet
56,fake,RF,0.8257732894576971,wordnet
57,fake,RF,0.9299456880919574,wordnet
58,fake,RF,0.9811360507921664,wordnet
59,fake,RF,0.9315958744215956,wordnet
60,fake,RF,0.863271170867101,wordnet
61,fake,RF,0.9499062441095962,wordnet
62,fake,RF,0.9700429110580744,wordnet
63,fake,RF,0.9692815884330708,wordnet
64,fake,RF,0.9776921024057106,wordnet
65,fake,RF,0.917152022825636,wordnet
66,fake,RF,0.9822430580957232,wordnet
67,fake,RF,0.9521116744394263,wordnet
68,fake,RF,0.9689049535380996,wordnet
69,fake,RF,0.9830331614757226,wordnet
70,fake,RF,0.9296994323696988,wordnet
71,fake,RF,0.9948344865455216,wordnet
72,fake,RF,0.9417901967106892,wordnet
73,fake,RF,0.8357329828731354,wordnet
74,fake,RF,0.8610929671169185,wordnet
