,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,obama to apply for political asylum in moneygall,the story behind the african rihanna ,0.166255235671997,fake,xspells,rf,_TfidfVectorizer,0,story african rihanna,gorka smite hater radical islamist jerusalem post speech breitbart,0.2879863678155479,0.6501485405382607,8,0.01947023905813694,9,0.1843031495809555,"Italian Train Derails in Switzerland, Seven Injured",-0.186164453625679
1,nato goes on high ale to block donald trump presidency put hillary clinton in power,oregon gov ryan zinke conceded there ,0.1013119220733642,fake,xspells,rf,_TfidfVectorizer,0,oregon gov ryan zinke concede,diamond silk,0.2224441448288206,0.7040718112971983,15,-0.05151810869574547,7,-0.0504484884440898,Meet The First UFC Fighter To Wear A Turban To A Match,-0.2145157903432846
2,tesla hits a new milestone passing g m in valuation the new york times,breitba exposed white house visitor ,0.0958807468414306,fake,xspells,rf,_TfidfVectorizer,1,breitba expose white house visitor,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0958318958908122,0.5942185140853562,14,-0.019264228641986847,9,-0.0958717912435531,"Aleksei Navalny, Putin Critic, Says He’ll Run for President of Russia - The New York Times",-0.1645980328321457
3,john mayer s weird new low budget video is a meme wohy masterpiece,snl host chadwick boseman appears ,0.0869097709655761,fake,xspells,rf,_TfidfVectorizer,1,snl host chadwick boseman appear,budget deal increase wildfire disaster funding $ 2 billion annually,0.1568473736556929,0.487413043066825,13,0.30107381939888,10,-0.0597775802016258,Comment on New USDA Rules Eliminate Junk Food in Schools by conflictedhealth,-0.2341949045658111
4,come back to bed explores intimacy after experiencing sexual assault,chris dances wrecking ball with his ,1.2274658679962158,fake,xspells,rf,_TfidfVectorizer,1,chris dance wreck ball,fallacy goldilocks war policy,0.3104488735666816,0.607449814126783,10,0.0417761355638504,7,-0.0350695587694644,Gun Owners And Non-Gun Owners Actually Agree On A Lot Of Gun Reforms,-0.2322141379117965
5,california today fighting fire with fire the new york times,warriors coach steve calls nfl ban ,0.1258010864257812,fake,xspells,rf,_TfidfVectorizer,1,warrior coach steve call nfl ban,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2582918766275137,0.6264149150480075,10,0.08720453083515167,9,-0.0404349230229854,"Deep in Brazil’s Amazon, Exploring the Ruins of Ford’s Fantasyland - The New York Times",-0.2247899025678634
6,democratic lawmakers ask trump how it was legal to bomb syria,doj wants repeatedly to kill fbi ’ ,0.0817821025848388,fake,xspells,rf,_TfidfVectorizer,1,doj want repeatedly kill fbi,idris elba star new hunchback notre dame netflix,0.2754052769240643,0.7310443050102902,11,0.3249704837799072,8,0.0089819794520735,15 Unique Gifts For Mom This Mother's Day,-0.1974796056747436
7,americans are surprised domestic terrorism isn’t a federal crime most think it should be,if you can be more in music and she ,0.094428539276123,fake,xspells,rf,_TfidfVectorizer,1,music,idris elba star new hunchback notre dame netflix,0.1234297917662156,0.8458862518224025,14,0.009722516871988773,10,0.1497684866189956,Top House Republican Threatens To Subpoena Trump DOJ Official Over Census Citizenship Request,-0.1988528966903686
8,breaking trump was right,comey memo trump claims epa over trade ,0.1901626586914062,fake,xspells,rf,_TfidfVectorizer,1,comey memo trump claim epa trade,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1691450863061481,0.5560314346680052,7,0.22986629605293274,9,-0.2184385061264038,"In Historic Victory, Barbados Elects First Female Prime Minister",-0.2255331873893737
9,retired 4 star general simply outrageous that jared kushner represents america,colbe has a few blistering questions ,0.1089231967926025,fake,xspells,rf,_TfidfVectorizer,1,colbe blistering question,idris elba star new hunchback notre dame netflix,0.0901806579323618,0.6028373458285959,11,0.21382692456245422,8,0.0610602609813213,Trump Campaign Pays Lawyer Who’s Trying To Make Stormy Daniels Shut Up,-0.1866140812635421
10,“if trump loses i’m grabbing my musket” former congressman ready to go full revolution,if you re tired of the old way you ,1.1777105331420898,fake,xspells,rf,_TfidfVectorizer,2,tired old way,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0634517190884682,0.8402847479757094,14,0.23040318489074707,10,-0.0310392640531063,"U.S. Hits Russia With Sanctions For Election Meddling, Cyber Attacks",-0.2064871937036514
11,russian ambassador to turkey is assassinated in ankara the new york times,jerry brown california won t roll ,0.1706881523132324,fake,xspells,rf,_TfidfVectorizer,2,jerry brown california win t roll,gorka smite hater radical islamist jerusalem post speech breitbart,0.2520536711656077,0.5907205951188129,12,-0.13883240520954132,9,0.0386858247220516,Egypt Says Traces of Explosives Were Found on Bodies From Paris Flight - The New York Times,-0.2293745279312133
12,questions over melania trump’s speech set off finger pointing the new york times,republicans by trump ’ s reversal ,0.0921220779418945,fake,xspells,rf,_TfidfVectorizer,4,republican trump s reversal,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1445299896422605,0.682323830570219,13,0.3112807869911194,9,-0.0968902483582496,Serena Williams Beats Venus Williams to Win Her 7th Australian Open Title - The New York Times,-0.1920820474624633
13,chinese american scientist who was wrongly accused of spying gets job back,eric schneiderman has always been ,0.0861604213714599,fake,xspells,rf,_TfidfVectorizer,4,eric schneiderman,idris elba star new hunchback notre dame netflix,0.2780453770643274,0.5768156691948874,12,-0.061235543340444565,8,-0.0092391669750213,"In Rare LGBTQ Rights Win, Kenyan Court Rules Forced Anal Exams Illegal",-0.1895870417356491
14,the view from the mountaintop main luther king s turbulent tragic last year,obama surprises it s political for ,1.080357789993286,fake,xspells,rf,_TfidfVectorizer,5,obama surprise s political,idris elba star new hunchback notre dame netflix,0.2231181406365036,0.7215665853225336,12,0.133262038230896,8,-0.0023831031285226,Chrissy Metz Says She Was Physically Abused By Her Stepfather As A Teen,-0.1785077154636383
15,russia and syria warn about us shifting isis from mosul to battle assad,8 netflix titles with black stars ,0.4884436130523681,fake,xspells,rf,_TfidfVectorizer,5,8 netflix title black star,gorka smite hater radical islamist jerusalem post speech breitbart,0.0444777855086676,0.3750986119205743,13,-0.18273411691188812,9,-0.0318708270788192,How To Meet The Challenges Of Urban Farming,-0.1922248005867004
16,watch james corden get smashed in the face by a ball in slow motion,8 netflix titles with black stars ,0.0485856533050537,fake,xspells,rf,_TfidfVectorizer,5,8 netflix title black star,gorka smite hater radical islamist jerusalem post speech breitbart,0.0444777855086676,0.5933479453447339,14,0.12760889530181885,9,-0.0318708270788192,How To Meet The Challenges Of Urban Farming,-0.1922248005867004
17,hannity ’what has been happening to me in the last week is a kill shot’ breitba,here ’ s exactly when to book an international ,1.2941651344299316,fake,xspells,rf,_TfidfVectorizer,5,s exactly book international,kate mckinnon break impression rudy giuliani,0.1279875532925155,0.8763746206050124,15,0.1917940378189087,10,-0.0917970314621925,"'American Idol' Performer Is So Good, Katy Perry Drops Her Chair",-0.2036266773939132
18,tied to europe britain’s car industry is vulnerable after ‘brexit’ the new york times,emily blunt says his powerful love ,0.0802419185638427,fake,xspells,rf,_TfidfVectorizer,5,emily blunt say powerful love,wikileak obama saudi agent,0.2566656470232851,0.6568095068641545,14,0.043505020439624786,7,0.1400499939918518,Russia May Face Olympics Ban as Doping Scheme Is Confirmed - The New York Times,-0.2336904853582382
19,trump’s stormy daniels disclosure still leaves questions about payments to cohen,trump campaign was that could repoedly ,0.0568606853485107,fake,xspells,rf,_TfidfVectorizer,5,trump campaign repoedly,idris elba star new hunchback notre dame netflix,0.1633002014467441,0.7487924102610367,11,0.12261894345283508,8,0.0397326052188873,Kelis Says Nas Physically Abused Her During Their Marriage,-0.1908291280269622
20,nyc mayor threatens to destroy idnyc database containing personal info of nearly 500 000 illegal immigrants,gun owners and non gun owners actually ,0.5052669048309326,fake,xspells,rf,_TfidfVectorizer,6,gun owner non gun owner actually,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0124911376717636,0.6828411497319636,16,0.013047445565462112,9,-0.0911959782242775,"DML Provides Stunning Analysis, Predicts Trump Will Win Presidential Election",-0.194987416267395
21,damon wayans completely rips clayne crawford in twitter outburst,chinese american who was accused of ,0.1735150814056396,fake,xspells,rf,_TfidfVectorizer,6,chinese american accuse,idris elba star new hunchback notre dame netflix,0.2547351526642453,0.40475379058148,9,-0.027162570506334305,8,0.0495389141142368,Women In Iceland Leave Work 14% Early To Protest The Country’s 14% Wage Gap,-0.1529183089733123
22,bank fines elect democrats,officer charged with murder in shooting ,0.26711106300354,fake,xspells,rf,_TfidfVectorizer,6,officer charge murder shoot,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.0142848845127286,0.4395119329905793,7,0.054838333278894424,9,-0.0709278210997581,Channel 4 announces neverending cycle of Gogglebox spinoffs,-0.2618562579154968
23,how to rig an election james o’keefe expose’ follow the money,trump ’ s latest foreign policy chaos ,0.0916748046875,fake,xspells,rf,_TfidfVectorizer,6,trump s late foreign policy chaos,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0939707266686313,0.7400698203049965,11,0.32114121317863464,9,-0.0161953009665012,Michael Bublé And Wife Luisana Lopilato Expecting Third Child,-0.1564300209283828
24,poll finds most voters embrace milestone for women if not hillary clinton the new york times,conservative senate democrat who backs ,0.0669677257537841,fake,xspells,rf,_TfidfVectorizer,6,conservative senate democrat back,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.094037611281372,0.713043065859463,16,0.27220070362091064,9,0.0192317217588424,United Airlines Temporarily Suspends Cargo Travel For Pets,-0.1999358981847763
25,harvey weinstein expected to turn himself in to the nypd for sex crimes,illegal immigrants to us mexico border ,0.0973231792449951,fake,xspells,rf,_TfidfVectorizer,6,illegal immigrant mexico border,idris elba star new hunchback notre dame netflix,0.153873681083202,0.6779408754969569,12,-0.03702745959162712,8,0.0059179379604756,Michael Bolton Singing John Bolton's Scary Words About War Is Almost Soothing,-0.2555844187736511
26,teens call out the nra gun makers and politicians in powerful new march promo,as calais jungle burns refugees try ,0.6165506839752197,fake,xspells,rf,_TfidfVectorizer,6,calais jungle burn refugee try,idris elba star new hunchback notre dame netflix,0.2423235379172566,0.5780214751702886,14,-0.019946657121181488,8,-0.0394572466611862,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President",-0.2887636423110962
27,michael moore threatens dems block gorsuch or face primaries,jimmy kimmel tricks royal fans into ,0.1359705924987793,fake,xspells,rf,_TfidfVectorizer,7,jimmy kimmel trick royal fan,budget deal increase wildfire disaster funding $ 2 billion annually,0.2444335509534729,0.5754014312831642,9,0.0697278380393982,10,-0.0370244644582271,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,-0.2205029129981994
28,jim carrey skewers trump s bromance with macron in clever new awork,80 western backed ngos ask un to drop ,0.1238934993743896,fake,xspells,rf,_TfidfVectorizer,7,80 western back ngo ask un drop,chrissy teigen explain snapchat decision feel beyoncé biter,0.2259172666755238,0.4113631180698006,12,-0.024975931271910667,9,-0.1430703699588775,Cardi B Gets Real About Her Career And Motherhood: 'Why Can't I Have Both?',-0.195072740316391
29,184 u s generals and admirals endorse trump for commander in chief,questlove has a superhero power when ,0.1079156398773193,fake,xspells,rf,_TfidfVectorizer,7,questlove superhero power,kate mckinnon break impression rudy giuliani,0.225674559480813,0.5456539053333946,12,0.12479577958583832,7,0.0508553311228752,EPA Reportedly Approved Pipeline Project Linked To Lobbyist Renting Room To Pruitt,-0.2533967792987823
30,the murder of a black brazilian politician has only amplified her cause,hillary now caught red fixing foreign ,1.0573883056640625,fake,xspells,rf,_TfidfVectorizer,7,hillary catch red fix foreign,idris elba star new hunchback notre dame netflix,0.2726799633130177,0.753026555288701,12,0.18016837537288666,8,0.0908685401082038,"Elon Musk's Estranged Father Has Child With Stepdaughter, Says It's 'God's Plan'",-0.2164555937051773
31,israel reverses course hours after signing u n deal to resettle african migrants,man who by the white after 23 years ,0.0790188312530517,fake,xspells,rf,_TfidfVectorizer,7,man white 23 year,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0614883603828388,0.6948195581659083,13,0.06341716647148132,9,-0.0147480312734842,Channel 4 announces neverending cycle of Gogglebox spinoffs,-0.2463934570550918
32,vincent viola billionaire businessman is trump’s choice to lead the army the new york times,canada ’ s largest school system cancels ,0.9855079650878906,fake,xspells,rf,_TfidfVectorizer,7,canada s large school system cancel,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0876095220612097,0.7007054146597603,15,-0.04084672033786774,9,0.0271489545702934,"[VIDEO] Hackers EXPOSE Hillary’s ‘Bond Girl’ Huma Abedin: Wife, Lover, And Spy?",-0.247775137424469
33,rick and moy future still up in the air says co creator dan harmon,poll 50 of russians fear us syria ,0.0875551700592041,fake,xspells,rf,_TfidfVectorizer,7,poll 50 russian fear syria,idris elba star new hunchback notre dame netflix,0.218603978724792,0.5981340375615422,14,-0.10212644934654236,8,-0.0703001320362091,Seann William Scott Replaces Clayne Crawford On Renewed 'Lethal Weapon',-0.1850328892469406
34,deadpool and david beckham hug out feud in deadpool 2 teaser,lawmakers want mark zuckerberg to ,0.1257522106170654,fake,xspells,rf,_TfidfVectorizer,7,lawmaker want mark zuckerberg,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1922894486844387,0.453820013565712,11,-0.07784537971019745,9,-0.0889654755592346,World’s tallest church being eroded by urinating revellers,-0.2336021065711975
35,opposing nba teams unite to wear shis honoring stephon clark,rachel national anthem and has to ,0.2051780223846435,fake,xspells,rf,_TfidfVectorizer,8,rachel national anthem,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1986244515487343,0.5545967689360275,10,0.21522170305252075,9,0.1577005535364151,"Pressure on Taliban leaders, makes Afghan Issue more Complex",-0.193400964140892
36,in shadow of amazon european challenger looks to china for inspiration the new york times,i o a test for complete jobs the fox ,1.2391209602355957,fake,xspells,rf,_TfidfVectorizer,8,o test complete job fox,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.142149166458883,0.8094859567430812,14,0.1586029976606369,10,0.07255320250988,Trump fans rally in Jerusalem,-0.25717693567276
37,too many millennials are cool with communism,8 netflix shows how to next and <end> ,0.1626677513122558,fake,xspells,rf,_TfidfVectorizer,9,8 netflix show < end >,jew shielder gavin mccuck rekt jew hate female shitlord,0.0426144160558496,0.6418303640201395,9,-0.060827530920505524,9,-0.0814850777387619,Donald Trump Receives Bay of Pigs Veterans Association's First Ever Endorsement - Breitbart,-0.1833459436893463
