index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate,time to generate sentences,training time
0,windtalkers celebrates the human spirit and packs an emotional wallop,1,a film that loses sight of a good intentions <end> ,0,0,0.9666666666666667,"['the film s so uninspiring that could a gorgeously ', 'the film is a primer on its own and fills its characters ', 'the film is a primer on its own and fills his film ', 'a movie that so of the highest and the most famous ', 'the film is so of the 70s or film in which it s performance ']","['the film is a primer on its own and director while ', 'the film is a primer on its own in town with sensitivity ', 'the film has a number of themes a complex on a good ', 'a movie that rare into the reunion of s a performance ', 'the film is a primer on its own and director in america ']","{'primer': 0.16666666666666666, 'fills': 0.16666666666666666, 'uninspiring': 0.08333333333333333, 'could': 0.08333333333333333, 'gorgeously': 0.08333333333333333}","{'primer': 0.2, 'director': 0.13333333333333333, 'town': 0.06666666666666667, 'sensitivity': 0.06666666666666667, 'number': 0.06666666666666667}",0.027712583541870117,156.48009610176086,10286.121524572372
1,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,the film is a contrivance as aificial as the movie ,0,0,0.9666666666666667,"['the film has a laundry list of movie experiences will ', 'the film is so many of the time it s so bad that s ', 'the film has all the rules of lurid melodrama into ', 'the film has the perfect characters are too much but ', 'the film is too many or even think the movie s background ']","['the film is too many out to crush the same ride that ', 'the film has an infectious enthusiasm and the movie ', 'the film has an infectious enthusiasm and it s simply ', 'the film has an infectious enthusiasm and we re touched ', 'the film has the heavy handed that takes up with the ']","{'many': 0.125, 'laundry': 0.0625, 'list': 0.0625, 'experiences': 0.0625, 'time': 0.0625}","{'infectious': 0.21428571428571427, 'enthusiasm': 0.21428571428571427, 'many': 0.07142857142857142, 'crush': 0.07142857142857142, 'ride': 0.07142857142857142}",0.025754690170288086,136.5421063899994,10286.121524572372
2,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,0,the film s so of the reassuring adaptation of a with ,1,1,0.9591836734693877,"['the film is too many or even through the movie s of ', 'it s a very tasteful rock and roll movie you could ', 'it s a very tasteful to look at the most were what ', 'the film has a number of themes a complex on a good ', 'the film is a primer on its own it s a of above the ']","['the film is a primer on its own hollywood director ', 'the film is so of the 70s games film ever made about ', 'the film is too many or sugary issues in the that ', 'the film is so heavy handed that doesn t get an interest ', 'the film is so many of its own in reality tv and his ']","{'tasteful': 0.15384615384615385, 'many': 0.07692307692307693, 'even': 0.07692307692307693, 'rock': 0.07692307692307693, 'roll': 0.07692307692307693}","{'many': 0.11764705882352941, 'primer': 0.058823529411764705, 'hollywood': 0.058823529411764705, 'director': 0.058823529411764705, '70s': 0.058823529411764705}",0.02846074104309082,144.53592205047607,10286.121524572372
3,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,the film is a primer on its own in town with sensitivity ,1,1,0.975,"['the film is so many of its own in reality movies that ', 'the film is so consistently that the impoance of human ', 'the film is so of those who try to look away from ', 'the film is so of the best films of the year with ', 'the film has a laundry exercise in camera and that ']","['the film is so of the 70s it would be better than ', 'the film is a primer on its own hollywood director ', 'the film has a contrivance as aificial as the exalted ', 'the film is so of the 70s or film in which it s performance ', 'the film is too many or sugary through to think that ']","{'many': 0.06666666666666667, 'reality': 0.06666666666666667, 'movies': 0.06666666666666667, 'consistently': 0.06666666666666667, 'impoance': 0.06666666666666667}","{'70s': 0.14285714285714285, 'would': 0.07142857142857142, 'better': 0.07142857142857142, 'primer': 0.07142857142857142, 'hollywood': 0.07142857142857142}",0.024644136428833008,141.62923121452332,10286.121524572372
4,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,1,the film is a primer on its own it s a of above the ,1,1,0.9545454545454546,"['the film is a primer on its own and director michael ', 'the film is so many of the quirks to examine his emotional ', 'the film is so of the 70s it would be adequately emphasized ', 'the film is a primer on its own it s a of healthy ', 'the film is a primer on its own it s a rewarding balance ']","['the film is a primer on its own hollywood director ', 'the film is a primer on its own animated tv and rather ', 'the film is so consistently unimaginative that doesn ', 'the film is a primer on its own director director ', 'the film is too many or even through the movie s of ']","{'primer': 0.1875, 'director': 0.0625, 'michael': 0.0625, 'many': 0.0625, 'quirks': 0.0625}","{'primer': 0.21428571428571427, 'director': 0.21428571428571427, 'hollywood': 0.07142857142857142, 'animated': 0.07142857142857142, 'tv': 0.07142857142857142}",0.024811506271362305,141.8976559638977,10286.121524572372
5,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,the film s so uninspiring that covers a lot of the ,1,1,0.9565217391304348,"['the film is so many that you ll at least credit for ', 'the film is so many that its through the film s mid ', 'the film is so heavy and 295 preview screenings since ', 'the film is so of the 70s most of the film s with ', 'the film is so of the best films of the year with ']","['the film is a primer on its own hollywood director ', 'the film is so many of the quirks to examine his emotional ', 'the film is a primer on its own it s a rewarding balance ', 'the film has a contrivance as aificial as the exalted ', 'the film is so many of the time it s so bad that it ']","{'many': 0.14285714285714285, 'least': 0.07142857142857142, 'credit': 0.07142857142857142, 'mid': 0.07142857142857142, 'heavy': 0.07142857142857142}","{'primer': 0.125, 'many': 0.125, 'hollywood': 0.0625, 'director': 0.0625, 'quirks': 0.0625}",0.029632091522216797,142.21842527389526,10286.121524572372
6,feels like six different movies fighting each other for attention,0,a very funny look at how it used to be <end> ,1,1,0.9523809523809523,"['the film is a primer on its own it fills a strong ', 'the film has a number of themes a complex on a good ', 'a movie that one of the best films of the year with ', 'a movie that so of the best films like a confidence ', 'a movie that rare into the reunion of s a performance ']","['the film is a primer on its own his director in its ', 'the film is a primer on its own animated tv and in ', 'a thoughtful movie that he s performance that is a ', 'the film is a primer on its own animated tv and rather ', 'the film is a primer on its own director director ']","{'best': 0.1111111111111111, 'films': 0.1111111111111111, 'primer': 0.05555555555555555, 'fills': 0.05555555555555555, 'strong': 0.05555555555555555}","{'primer': 0.2857142857142857, 'director': 0.21428571428571427, 'animated': 0.14285714285714285, 'tv': 0.14285714285714285, 'thoughtful': 0.07142857142857142}",0.027403831481933594,155.56353306770325,10286.121524572372
7,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,1,the movie has the number of gloss the holocaust faced ,0,0,0.9701492537313433,"['it s a demented kitsch movie although the smeary digital ', 'the movie has the fact that the best only some of ', 'the movie has been readily dismissed as the pitch ', 'the movie has all the rules of attraction of their ', 'the movie has been in this one of which illness but ']","['the movie has been more than a fair film if oscar ', 'the movie has been more than a fair film if there ', 'the movie has been more than a bit of a movie that ', 'the movie has been in years old but even as they re ', 'the movie has the fact that the best only life but ']","{'demented': 0.07142857142857142, 'kitsch': 0.07142857142857142, 'although': 0.07142857142857142, 'smeary': 0.07142857142857142, 'digital': 0.07142857142857142}","{'fair': 0.2, 'oscar': 0.1, 'bit': 0.1, 'years': 0.1, 'old': 0.1}",0.04035520553588867,151.05877447128296,10286.121524572372
8,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,the film has the perfect of s best as a couple of ,1,1,0.9629629629629629,"['the film has a laundry list of war shocomings but ', 'the film has an infectious enthusiasm and we re touched ', 'the film has the perfect characters are not an intelligent ', 'the film has a laundry cast of war shocomings are ', 'the film has a laundry list of camera work in which ']","['the film has an infectious enthusiasm and it s altman ', 'the film has the heavy handed of a house ambition ']","{'laundry': 0.16666666666666666, 'list': 0.1111111111111111, 'war': 0.1111111111111111, 'shocomings': 0.1111111111111111, 'infectious': 0.05555555555555555}","{'infectious': 0.14285714285714285, 'enthusiasm': 0.14285714285714285, 'altman': 0.14285714285714285, 'heavy': 0.14285714285714285, 'handed': 0.14285714285714285}",0.018192291259765625,133.58693170547485,10286.121524572372
9,pretty much sucks but has a funny moment or two,0,a very funny look at how it used to be <end> ,1,1,1.0,"['the film is a primer on its own it s a rewarding balance ', 'the film is so of the 70s it would be adequately emphasized ', 'a very funny look at how it used to be <end> ', 'the film has a number of themes a complex on a good ', 'the film is a primer on its own and director in its ']","['a movie that one would have been seen in advance or ', 'the film s a gaudy bag of stale candy ever made a ', 'the film is so of the 70s or film that makes it move ', 'a movie that one would be profane politically the ', 'the film is a primer on its own it feels like a lot ']","{'primer': 0.125, 'rewarding': 0.0625, 'balance': 0.0625, '70s': 0.0625, 'would': 0.0625}","{'one': 0.09523809523809523, 'would': 0.09523809523809523, 'seen': 0.047619047619047616, 'advance': 0.047619047619047616, 'gaudy': 0.047619047619047616}",0.026241064071655273,154.68424224853516,10286.121524572372
10,topkapi this is not,0,a wonderful character based comedy <end> ,1,1,1.0,"['a movie that so of the best films like a confidence ', 'the film is a solid album of writers the film is a ', 'the film is a primer on its head and laughter that ', 'the film s a gaudy bag of a icon that s hard to anyway ', 'a film that it s a sincere performance by a movie ']","['the film s so anti jokes through the whole family ', 'the film is a mediocre movie tale about a great movie ', 'the film is a primer on its own and director director ', 'a movie that one would have been exhausted by someone ', 'the film is a primer on its own and director michael ']","{'best': 0.058823529411764705, 'films': 0.058823529411764705, 'like': 0.058823529411764705, 'confidence': 0.058823529411764705, 'solid': 0.058823529411764705}","{'director': 0.17647058823529413, 'primer': 0.11764705882352941, 'anti': 0.058823529411764705, 'jokes': 0.058823529411764705, 'whole': 0.058823529411764705}",0.05320286750793457,157.0640344619751,10286.121524572372
11,belongs to daniel day lewis as much as it belongs to main scorsese it s a memorable performance in a big brassy disturbing unusual and highly successful film,1,the film has the perfect characters are not to compromise ,1,1,0.9830508474576272,"['the film has the heavy handed that takes up with a ', 'the film is so of the best films of the year with ', 'the film has the perfect characters are not to compromise ', 'the film has a laundry cast of human observation and ', 'the film has been a huge that of impact and direction ']","['the film has a laundry exercise in camera that you ', 'the film has all the rules of water of which after ', 'the film is a primer on its own director director ', 'the film has a laundry list of movie largely for the ', 'the film is so many of the time it s altman esque ']","{'heavy': 0.0625, 'handed': 0.0625, 'takes': 0.0625, 'best': 0.0625, 'films': 0.0625}","{'laundry': 0.13333333333333333, 'director': 0.13333333333333333, 'exercise': 0.06666666666666667, 'camera': 0.06666666666666667, 'rules': 0.06666666666666667}",0.029989957809448242,136.48024368286133,10286.121524572372
12,disney s live action division has a history of releasing cinematic flotsam but this is one occasion when they have uneahed a rare gem,1,the film is a primer on its own it s a of healthy ,1,1,0.975609756097561,"['the film is so consistently that the impoance of human ', 'the film is a primer on its own it s a of healthy ', 'the film is a primer on its own school comedy with ', 'the film has a laundry exercise in camera with and ', 'the film is a primer on the film s delicate little ']","['the film is so many of its own in reality filmmaking ', 'the film is too many or even through the movie s mid ', 'the film is too many or even through the movie s of ', 'the film is a primer on its own director director ', 'the film is a primer on the rules of attraction and ']","{'primer': 0.21428571428571427, 'consistently': 0.07142857142857142, 'impoance': 0.07142857142857142, 'human': 0.07142857142857142, 'healthy': 0.07142857142857142}","{'many': 0.21428571428571427, 'even': 0.14285714285714285, 'primer': 0.14285714285714285, 'director': 0.14285714285714285, 'reality': 0.07142857142857142}",0.026583194732666016,139.39975547790527,10286.121524572372
13,innocuous enough to make even jean claude van damme look good,0,a very funny look at how it used to be <end> ,1,1,0.9649122807017544,"['a movie that so of the best films like a confidence ', 'a movie that one of the best films of the year with ', 'a thoughtful movie that one of the most lies in a ', 'the film is a primer on its own and director in its ', 'the film is a primer on its own school comedy with ']","['the film is a primer on its own his director in its ', 'the film is so many that time through the film s mid ', 'the film is so many that time audiences in terms of ', 'the film is so many of its own in reality tv in which ', 'the film is a primer on sentence of the film a movie ']","{'best': 0.125, 'films': 0.125, 'one': 0.125, 'primer': 0.125, 'like': 0.0625}","{'many': 0.21428571428571427, 'primer': 0.14285714285714285, 'time': 0.14285714285714285, 'director': 0.07142857142857142, 'mid': 0.07142857142857142}",0.026282787322998047,156.48413109779358,10286.121524572372
14,the hot topics of the plot are relegated to the background a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty,1,the film has the perfect characters are not much of ,1,1,0.9811320754716981,"['the film has the perfect characters are not much of ', 'the film has an infectious enthusiasm and it doesn ', 'the film has a laundry cast of human shocomings but ', 'the film has the perfect characters are not much of ', 'the film has been a huge fan of human with such life ']","['the film is so many of the time it s so bad that it ', 'the film has all the rules of lurid melodrama but ', 'the film has a laundry list of movie experiences will ', 'the film is so consistently unimaginative that doesn ', 'the film is too many or even through the movie s of ']","{'perfect': 0.125, 'characters': 0.125, 'much': 0.125, 'human': 0.125, 'infectious': 0.0625}","{'many': 0.15384615384615385, 'time': 0.07692307692307693, 'bad': 0.07692307692307693, 'rules': 0.07692307692307693, 'lurid': 0.07692307692307693}",0.024045944213867188,135.47684717178345,10286.121524572372
15,merely and literally tosses around sex toys and offers half heaed paeans to empowerment that are repeatedly undercut by the brutality of the jokes most at women s expense,0,the film is a contrivance as aificial as the film ,0,0,0.9347826086956522,"['the film is so many of the time it s altman esque ', 'the film is so of those films try to be missing it ', 'the film is too many or even through the movie s of ', 'the film is a contrivance as aificial as the movie ', 'the film has the perfect characters are too many of ']","['the film is a primer on the beach with humor and american ', 'the film has been a huge that of impact and direction ', 'the film has the perfect characters are not to lend ', 'the film is so many of the time it s so bad that s ', 'the film has been a huge fan of human with such life ']","{'many': 0.21428571428571427, 'time': 0.07142857142857142, 'altman': 0.07142857142857142, 'esque': 0.07142857142857142, 'films': 0.07142857142857142}","{'huge': 0.11764705882352941, 'primer': 0.058823529411764705, 'beach': 0.058823529411764705, 'humor': 0.058823529411764705, 'american': 0.058823529411764705}",0.026453495025634766,139.89410281181335,10286.121524572372
16,ranges from laugh out loud hilarious to wonder what time it is tedious,1,the film s visceral and predictable above with a of ,1,1,0.9534883720930233,"['the film is a primer on its own and director in its ', 'the film is a primer on its own it s a of above the ', 'the film is a primer on its own it s a rewarding balance ', 'the film is so of the 70s it would be adequately emphasized ', 'a movie that so of the highest and the most feeling ']","['a movie that so of the highest and the most famous ', 'the film is a primer on its own animated tv and in ', 'the film is a primer on its own it fills a good movie ']","{'primer': 0.25, 'director': 0.08333333333333333, 'rewarding': 0.08333333333333333, 'balance': 0.08333333333333333, '70s': 0.08333333333333333}","{'primer': 0.25, 'highest': 0.125, 'famous': 0.125, 'animated': 0.125, 'tv': 0.125}",0.019255399703979492,153.2494900226593,10286.121524572372
17,beautifully crafted engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic twisty yarn that will keep them guessing,1,the film is a primer on its own it s a of healthy ,1,1,0.96,"['the film is a primer on its own it s a of healthy ', 'the film is a primer on the beach with humor and humor ', 'the film has the heavy handed that takes up with a ', 'the film is so consistently that the impoance of life ', 'the film is so of those who try to look away from ']","['the film is a primer on its own and director michael ', 'the film is a primer on its own director director ', 'the film is so many of the time it s so bad that it ', 'the film is a primer on the rules of attraction and ', 'the film is too many or even through the movie s of ']","{'primer': 0.13333333333333333, 'humor': 0.13333333333333333, 'healthy': 0.06666666666666667, 'beach': 0.06666666666666667, 'heavy': 0.06666666666666667}","{'primer': 0.21428571428571427, 'director': 0.21428571428571427, 'many': 0.14285714285714285, 'michael': 0.07142857142857142, 'time': 0.07142857142857142}",0.027831077575683594,141.8171031475067,10286.121524572372
18,it s funny as the old saying goes because it s true,1,the film s blatant is one reason it s just too long ,0,0,0.9807692307692307,"['a movie that rare into the reunion of and the only ', 'a movie that one would be profane politically the ', 'the film is a primer on its own and fills his film ', 'a movie that so of the highest and the most famous ', 'the film is a primer on its own it feels like a lot ']","['a movie that so lovingly and present the most of screen ', 'a movie that rare into the reunion of s a performance ', 'a movie that so of the best films like a confidence ', 'the film is a primer on its own it s a of healthy ']","{'primer': 0.14285714285714285, 'rare': 0.07142857142857142, 'reunion': 0.07142857142857142, 'one': 0.07142857142857142, 'would': 0.07142857142857142}","{'lovingly': 0.08333333333333333, 'present': 0.08333333333333333, 'screen': 0.08333333333333333, 'rare': 0.08333333333333333, 'reunion': 0.08333333333333333}",0.027719497680664062,154.98184776306152,10286.121524572372
19,nohe has made a decent intro documentary but he feels like a spectator and not a paicipant,0,the film s visceral and predictable realism with a ,1,1,0.9772727272727273,"['a movie that one of the best films of the year with ', 'the film has a number of themes a complex on a good ', 'a movie that one of the best examples of a page to ', 'the film is a primer on its own it s a of healthy ', 'the film s visceral and predictable realism with a ']","['the film is a primer on its own it feels like a lot ', 'the film is a primer on its own animated tv and in ', 'the film is a primer on the rules of attraction and ', 'the film is so heavy handed that doesn t get an interest ']","{'one': 0.11764705882352941, 'best': 0.11764705882352941, 'films': 0.058823529411764705, 'year': 0.058823529411764705, 'number': 0.058823529411764705}","{'primer': 0.21428571428571427, 'feels': 0.07142857142857142, 'like': 0.07142857142857142, 'lot': 0.07142857142857142, 'animated': 0.07142857142857142}",0.024294376373291016,149.9128441810608,10286.121524572372
20,kinnear gives a tremendous performance,1,a wonderful film based comedy <end> ,1,1,0.9727272727272728,"['the film is a solid album of writers the power of ', 'the film is a solid action pic that a fast personal ', 'a movie that so fresh and thoroughly but ultimately ', 'the film is a primer on its beach with great dialogue ', 'the film is a primer on its head and laughter that ']","['the film is a mediocre movie tale about a good time ', 'a film that will enthrall the whole thing of a deeply ', 'the film is a solid job of his warriors tv in the ', 'the film is a primer on its own his director and direction ', 'a movie that so tale about being a bunch of time in ']","{'solid': 0.10526315789473684, 'primer': 0.10526315789473684, 'album': 0.05263157894736842, 'writers': 0.05263157894736842, 'power': 0.05263157894736842}","{'tale': 0.1111111111111111, 'time': 0.1111111111111111, 'mediocre': 0.05555555555555555, 'good': 0.05555555555555555, 'enthrall': 0.05555555555555555}",0.039778709411621094,157.74772095680237,10286.121524572372
21,a knowing look at female friendship spiked with raw urban humor,1,a very funny look at how it used to be <end> ,1,1,0.9791666666666666,"['it s a very tasteful rock and roll movie you could ', 'a movie that one of the best films of the situation ', 'the film is so of the 70s it would be adequately emphasized ', 'a very funny look at how it used to be <end> ', 'the film is so of the 70s most of the film s with ']","['a movie that so of the highest and the most famous ', 'the film is a primer on its own it fills a film above ', 'the film is so many of its own in reality tv and his ', 'the film is a primer on its observation and fills ', 'the film is a primer on sentence of the film a movie ']","{'70s': 0.125, 'tasteful': 0.0625, 'rock': 0.0625, 'roll': 0.0625, 'could': 0.0625}","{'primer': 0.25, 'fills': 0.16666666666666666, 'highest': 0.08333333333333333, 'famous': 0.08333333333333333, 'many': 0.08333333333333333}",0.0246737003326416,155.9545133113861,10286.121524572372
22,one scene after another in this supposedly funny movie falls to the floor with a sickening thud,0,the film s visceral and predictable realism with a ,1,1,0.9761904761904762,"['the film is a primer on its own it s a rewarding balance ', 'the film is so of the 70s most of the film s with ', 'the film is so of the best films of the year with ', 'the film is so of the 70s it would be adequately emphasized ', 'the film is a primer on the film s delicate little ']","['the film is so many of its own in reality tv and his ', 'the film is a primer on its observation and fills ', 'the film is a primer on its own hollywood director ', 'the film is so of the 70s games film ever made about ', 'the film is so of the 70s or film in which it s performance ']","{'primer': 0.14285714285714285, '70s': 0.14285714285714285, 'rewarding': 0.07142857142857142, 'balance': 0.07142857142857142, 'best': 0.07142857142857142}","{'primer': 0.13333333333333333, '70s': 0.13333333333333333, 'many': 0.06666666666666667, 'reality': 0.06666666666666667, 'tv': 0.06666666666666667}",0.023652076721191406,148.50008344650269,10286.121524572372
23,from its invitingly upbeat oveure to its pathos filled but ultimately life affirming finale main is a masterfully conducted work,1,the film is a primer on its own in town with sensitivity ,1,1,0.9347826086956522,"['the film is so many of its own in reality tv and his ', 'the film is too many or even through the movie s of ', 'the film is too many or even through the movie s mid ', 'the film is a primer on its own it s a of above the ', 'the film is so of the 70s it would be adequately emphasized ']","['the film is a primer on its own it fills a good movie ', 'the film is so many that it wants to look like it ', 'the film is a contrivance as aificial as the film ', 'the film is too many or even video it s got a movie ', 'the film is a primer on sentence of the film a movie ']","{'many': 0.23076923076923078, 'even': 0.15384615384615385, 'reality': 0.07692307692307693, 'tv': 0.07692307692307693, 'mid': 0.07692307692307693}","{'primer': 0.13333333333333333, 'many': 0.13333333333333333, 'fills': 0.06666666666666667, 'good': 0.06666666666666667, 'wants': 0.06666666666666667}",0.025728702545166016,141.87136244773865,10286.121524572372
